date,open,high,low,close,volume
20091030,6975,6987,6837,6837,15279
20091102,6608,6718,6592,6686,386
20091103,6706,6731,6682,6682,662
20091104,6743,6804,6743,6779,403
20091105,6767,6771,6710,6710,500
20091106,6861,6873,6824,6837,515
20091109,6902,6955,6873,6890,1070
20091110,6943,6991,6922,6991,1189
20091111,7073,7073,6918,6971,652
20091112,7004,7036,6955,6955,2779
20091113,6955,7028,6918,7028,5154
20091116,7110,7191,7073,7191,7619
20091117,7252,7383,7252,7297,11928
20091118,7326,7354,7212,7261,3457
20091119,7265,7338,7256,7314,2259
20091120,8410,8410,7244,7281,20315
20091123,7285,7305,7208,7236,5002
20091124,8316,8316,7220,7281,3348
20091125,7493,7493,7261,7289,4462
20091126,7289,7322,7236,7236,1981
20091127,7102,7130,6849,6869,5545
20091130,6983,7053,6934,7004,2106
20091201,6967,7085,6930,7085,2054
20091202,7179,7220,7167,7199,16861
20091203,7256,7256,7146,7199,1295
20091204,7191,7199,7134,7191,14559
20091207,7232,7232,7024,7089,3579
20091208,7163,7163,6983,7012,3507
20091209,7077,7077,6906,7004,1107
20091210,7061,7061,6975,7044,13646
20091211,7110,7261,7077,7261,5760
20091214,7265,7358,7203,7354,2937
20091215,7664,7664,7297,7354,3411
20091216,7362,7362,7281,7326,1748
20091217,7342,7403,7330,7342,1615
20091218,7289,7342,7285,7338,2266
20091221,7338,7338,7212,7212,1535
20091222,7322,7322,7183,7183,830
20091223,7322,7322,7163,7212,710
20091224,7330,7420,7228,7383,1859
20091228,7411,7481,7383,7444,5044
20091229,7497,7550,7460,7481,7652
20091230,7526,7607,7509,7595,3915
20100104,7595,7619,7562,7607,1472
20100105,7652,7746,7644,7680,3617
20100106,8830,8830,7693,7733,2726
20100107,7835,7835,7693,7701,12861
20100108,7717,7717,7554,7664,2884
20100111,7542,7807,7542,7705,2960
20100112,7746,7746,7648,7729,2397
20100113,7591,7599,7432,7432,6363
20100114,7428,7497,7420,7432,1539
20100115,7583,7583,7387,7473,3311
20100118,7615,7615,7354,7489,3273
20100119,7526,7530,7444,7526,3219
20100120,7526,7668,7526,7574,8236
20100121,7497,7513,7444,7452,3326
20100122,7375,7375,7179,7240,10147
20100125,7240,7240,7057,7150,3904
20100126,7150,7155,6971,7000,2445
20100127,7150,7150,6869,6922,2211
20100128,7130,7130,6816,6967,3540
20100129,6832,6894,6775,6775,5982
20100201,6775,6812,6694,6771,9655
20100202,7036,7036,6771,6808,1174
20100203,6910,6979,6902,6975,2959
20100204,6951,6951,6894,6930,1026
20100205,6649,6694,6633,6653,4135
20100208,6996,6996,6433,6433,6474
20100209,6812,6812,6400,6551,50751
20100210,6641,6645,6559,6608,29807
20100211,6616,6751,6596,6751,11371
20100212,6686,6755,6625,6747,33074
20100216,6731,6898,6694,6898,12856
20100217,6963,6991,6926,6947,2969
20100218,6951,6959,6894,6959,10548
20100219,6906,6951,6824,6828,1389
20100222,7000,7044,6967,7032,2006
20100223,7040,7089,7028,7081,1914
20100224,7081,7081,6971,7012,748
20100225,7061,7061,6930,6934,641
20100226,7240,7240,6910,6971,1070
20100302,7097,7122,7000,7040,3322
20100303,7093,7093,7016,7024,873
20100304,7085,7085,6975,7024,1856
20100305,7044,7069,7024,7044,692
20100308,7130,7224,7130,7224,15739
20100309,7228,7228,7183,7208,1639
20100310,7322,7322,7163,7163,1654
20100311,7297,7297,7138,7171,1082
20100312,7159,7273,7118,7273,172866
20100315,7277,7338,7224,7252,25907
20100316,7252,7252,7142,7175,1035
20100317,7273,7273,7216,7269,526
20100318,7273,7297,7248,7289,1208
20100319,7293,7314,7265,7314,382
20100322,7314,7314,7216,7256,120
20100323,7285,7285,7134,7216,2669
20100324,7391,7391,7175,7220,580
20100325,7240,7240,7122,7159,659
20100326,7024,7175,7024,7175,3513
20100329,7208,7244,7175,7244,946
20100330,7244,7330,7244,7277,1279
20100331,7216,7240,7183,7220,316
20100401,7240,7273,7240,7248,2037
20100402,7305,7330,7277,7330,1677
20100405,7334,7367,7265,7326,4137
20100406,7375,7464,7367,7436,1427
20100407,7428,7538,7428,7538,4066
20100408,7538,7583,7509,7570,2555
20100409,7566,7587,7460,7501,2492
20100412,7566,7566,7428,7513,10531
20100413,7338,7501,7338,7444,783
20100414,7407,7493,7407,7485,764
20100415,7534,7534,7460,7501,320
20100416,7574,7574,7407,7436,8436
20100419,7436,7436,7216,7216,2655
20100420,7346,7379,7265,7338,727
20100421,7411,7477,7383,7477,2579
20100422,7477,7481,7420,7444,760
20100423,7444,7464,7432,7452,695
20100426,7452,7579,7452,7534,2738
20100427,7583,7583,7501,7513,426
20100428,7513,7513,6461,7420,2885
20100429,7468,7468,7301,7367,9107
20100430,7701,7701,7155,7155,11484
20100503,7073,7155,7036,7036,10238
20100504,7183,7183,6991,7049,2223
20100506,6898,6902,6849,6902,3238
20100507,6726,6816,6657,6763,1422
20100510,7085,7085,6796,6971,1778
20100511,7053,7053,6849,6853,1600
20100512,6971,6971,6800,6845,903
20100513,6930,6947,6898,6914,1307
20100514,6902,6947,6869,6947,1643
20100517,6885,6885,6702,6706,473
20100518,6682,6682,6592,6665,280
20100519,6645,6645,6437,6551,1143
20100520,6812,6812,6360,6388,3350
20100524,6629,6629,6368,6620,987
20100525,6547,6547,6343,6449,880
20100526,6808,6808,6490,6563,681
20100527,6392,6739,6392,6694,971
20100528,6771,6784,6726,6735,924
20100531,6808,6808,6735,6796,517
20100601,6845,6845,6726,6726,502
20100603,6808,6845,6775,6845,1444
20100604,6845,6845,6645,6665,5863
20100607,6661,6661,6441,6494,3673
20100608,6641,6641,6494,6543,625
20100609,6539,6637,6523,6637,840
20100610,6625,6767,6608,6718,5721
20100611,6849,6849,6755,6804,156
20100614,6845,6951,6845,6930,4467
20100615,6971,6996,6914,6955,2189
20100616,6996,7061,6996,7008,3259
20100617,6873,7102,6873,7093,1750
20100618,7093,7114,7004,7004,705
20100621,7175,7411,7175,7403,11152
20100622,7403,7420,7371,7379,2322
20100623,7420,7501,7342,7452,4846
20100624,7452,7513,7436,7477,6726
20100625,7477,7477,7330,7379,1436
20100628,7574,7574,7411,7420,419
20100629,7501,7501,7208,7216,1356
20100630,7150,7150,7024,7126,3257
20100701,7069,7163,7036,7163,1644
20100702,7216,7216,7093,7093,760
20100705,7334,7334,7093,7199,1271
20100706,7199,7199,7097,7187,708
20100707,7106,7252,7106,7212,79
20100708,7224,7432,7224,7424,1703
20100709,7424,7505,7387,7436,300
20100712,7411,7509,7411,7448,397
20100713,7477,7583,7456,7583,2602
20100714,7509,7583,7509,7574,3119
20100715,7521,7530,7485,7501,824
20100716,7420,7583,7420,7485,1545
20100719,7485,7517,7134,7493,378
20100720,7579,7656,7489,7648,2029
20100721,7664,7884,7664,7884,5004
20100722,7909,7990,7860,7880,3062
20100723,8047,8047,7852,7917,3413
20100726,8471,8471,7892,7933,5105
20100727,8092,8092,7884,7892,1855
20100728,7868,7892,7786,7892,2846
20100729,7892,7897,7864,7864,959
20100730,7905,7905,7689,7717,1068
20100802,7746,7958,7746,7954,402
20100803,8194,8194,8007,8113,591
20100804,8182,8284,8100,8284,1894
20100805,8561,8561,8251,8341,3906
20100806,8341,8341,8170,8341,3052
20100809,8035,8235,8035,8210,2153
20100810,8292,8337,8239,8325,1312
20100811,8316,8316,8210,8227,824
20100812,8219,8219,7831,7831,3075
20100813,7835,8039,7835,8039,697
20100816,8039,8039,7827,7958,1090
20100817,8015,8129,8015,8113,1188
20100818,8121,8137,8027,8072,2874
20100819,8015,8235,8015,8198,1131
20100820,8198,8198,6975,8076,3735
20100823,8003,8076,7909,7925,1777
20100824,7925,8011,7827,7905,746
20100825,7844,7844,7689,7725,1474
20100826,7758,7852,7754,7766,802
20100827,7729,7770,7705,7766,1506
20100830,7990,8007,7880,8007,1476
